v1,v2
"(And my man carlos is definitely coming by mu tonight, no excuses)",0
Ok leave no need to ask,0
T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,1
ARE YOU IN TOWN? THIS IS V. IMPORTANT,0
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0
No calls..messages..missed calls,0
Oh ok.. Wat's ur email?,0
Where's my boytoy? I miss you ... What happened?,0
Now got tv 2 watch meh? U no work today?,0
I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA,0
"All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!",0
Dont think so. It turns off like randomlly within 5min of opening,0
Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!,1
Well I might not come then...,0
S da..al r above  &lt;#&gt;,0
